Algorithm,Heuristic,Problem,Nodes explored,Arcs Revised
Maintaining Arc Consistency, Random, langfords2_4, 10, 41
Maintaining Arc Consistency, MaxDegree, langfords2_4, 10, 41
Backtracking,None,langfords3_10, 695175, 0
Forward Checking, Smallest Domain, langfords3_10, 5346, 17431
Forward Checking, Name, langfords3_10, 41918, 206529
Forward Checking, Random, langfords3_10, 8606516, 43923527
Backtracking,None,langfords3_10, 695175, 0
Forward Checking, Smallest Domain, langfords3_10, 5346, 17431
Forward Checking, Name, langfords3_10, 41918, 206529
Backtracking,None,langfords3_10, 695175, 0
Forward Checking, Smallest Domain, langfords3_10, 5346, 17431
Forward Checking, Name, langfords3_10, 41918, 206529
Forward Checking, Random, langfords3_10, 14912460, 34592660
Forward Checking, Smallest Domain, FinnishSudoku, 115847, 240069
Forward Checking, Name, FinnishSudoku, 3027747, 7816364
Maintaining Arc Consistency, Smallest Domain, FinnishSudoku, 4211, 55013
Maintaining Arc Consistency, Name, FinnishSudoku, 9805, 89290
Maintaining Arc Consistency, Random, FinnishSudoku, 4175, 50541
Maintaining Arc Consistency, MaxDegree, FinnishSudoku, 4175, 50541
Maintaining Arc Consistency, Smallest Domain, langfords3_10, 106, 1659
Maintaining Arc Consistency, Name, langfords3_10, 788, 11474
Maintaining Arc Consistency, Random, langfords3_10, 2424, 49952
Maintaining Arc Consistency, MaxDegree, langfords3_10, 2934, 49950
Maintaining Arc Consistency, Smallest Domain, langfords3_9, 29, 318
Maintaining Arc Consistency, Name, langfords3_9, 365, 4771
Maintaining Arc Consistency, Random, langfords3_9, 505, 9183
Maintaining Arc Consistency, MaxDegree, langfords3_9, 413, 9183
Backtracking,None, 10Queens, 975, 0, 10, 45
Forward Checking, Smallest Domain, 10Queens, 292, 517, 10, 45
Forward Checking, Random, 10Queens, 142, 179, 10, 45
Forward Checking, MaxDegree, 10Queens, 142, 179, 10, 45
Maintaining Arc Consistency, Smallest Domain, 10Queens, 54, 315, 10, 45
Maintaining Arc Consistency, Name, 10Queens, 36, 176, 10, 45
Maintaining Arc Consistency, Random, 10Queens, 30, 138, 10, 45
Maintaining Arc Consistency, MaxDegree, 10Queens, 30, 138, 10, 45
Backtracking,None, 10Queens, 975, 0, 10, 45
Forward Checking, Smallest Domain, 10Queens, 292, 517, 10, 45
Forward Checking, Name, 10Queens, 150, 215, 10, 45
Forward Checking, Random, 10Queens, 90, 143, 10, 45
Forward Checking, MaxDegree, 10Queens, 90, 143, 10, 45
Maintaining Arc Consistency, Smallest Domain, 10Queens, 54, 315, 10, 45
Maintaining Arc Consistency, Name, 10Queens, 36, 176, 10, 45
Maintaining Arc Consistency, Random, 10Queens, 24, 120, 10, 45
Maintaining Arc Consistency, MaxDegree, 10Queens, 24, 120, 10, 45
Backtracking,None, 10Queens, 975, 0, 10, 45
Forward Checking, Smallest Domain, 10Queens, 292, 517, 10, 45
Forward Checking, Name, 10Queens, 150, 215, 10, 45
Forward Checking, Random, 10Queens, 28, 55, 10, 45
Forward Checking, MaxDegree, 10Queens, 28, 55, 10, 45
Maintaining Arc Consistency, Smallest Domain, 10Queens, 54, 315, 10, 45
Maintaining Arc Consistency, Name, 10Queens, 36, 176, 10, 45
Maintaining Arc Consistency, Random, 10Queens, 12, 51, 10, 45
Maintaining Arc Consistency, MaxDegree, 10Queens, 12, 51, 10, 45
Backtracking,None, SimonisSudoku, 313746, 0, 81, 810
Forward Checking, Smallest Domain, SimonisSudoku, 121, 405, 81, 810
Forward Checking, Name, SimonisSudoku, 357, 863, 81, 810
Forward Checking, Random, SimonisSudoku, 26765, 65740, 81, 810
Forward Checking, MaxDegree, SimonisSudoku, 26765, 65740, 81, 810
Maintaining Arc Consistency, Smallest Domain, SimonisSudoku, 81, 376, 81, 810
Maintaining Arc Consistency, Name, SimonisSudoku, 83, 561, 81, 810
Maintaining Arc Consistency, Random, SimonisSudoku, 83, 524, 81, 810
Maintaining Arc Consistency, MaxDegree, SimonisSudoku, 83, 524, 81, 810
Backtracking,None, langfords3_10, 695175, 0, 30, 425
Forward Checking, Smallest Domain, langfords3_10, 5346, 17431, 30, 425
Forward Checking, Name, langfords3_10, 41918, 206529, 30, 425
Backtracking,None, 10Queens, 975, 0, 10, 45
Forward Checking, Smallest Domain, 10Queens, 292, 517, 10, 45
Forward Checking, Name, 10Queens, 150, 215, 10, 45
Forward Checking, Random, 10Queens, 90, 149, 10, 45
Forward Checking, MaxDegree, 10Queens, 90, 149, 10, 45
Maintaining Arc Consistency, Smallest Domain, 10Queens, 54, 315, 10, 45
Maintaining Arc Consistency, Name, 10Queens, 36, 176, 10, 45
Maintaining Arc Consistency, Random, 10Queens, 28, 129, 10, 45
Maintaining Arc Consistency, MaxDegree, 10Queens, 28, 129, 10, 45
Backtracking,None, SimonisSudoku, 313746, 0, 81, 810
Forward Checking, Smallest Domain, SimonisSudoku, 121, 405, 81, 810
Forward Checking, Name, SimonisSudoku, 357, 863, 81, 810
Forward Checking, Random, SimonisSudoku, 58587, 116831, 81, 810
Forward Checking, MaxDegree, SimonisSudoku, 58587, 116831, 81, 810
Maintaining Arc Consistency, Smallest Domain, SimonisSudoku, 81, 376, 81, 810
Maintaining Arc Consistency, Name, SimonisSudoku, 83, 561, 81, 810
Maintaining Arc Consistency, Random, SimonisSudoku, 83, 595, 81, 810
Maintaining Arc Consistency, MaxDegree, SimonisSudoku, 83, 595, 81, 810
Backtracking,None, langfords3_10, 695175, 0, 30, 425
Forward Checking, Smallest Domain, langfords3_10, 5346, 17431, 30, 425
Forward Checking, Name, langfords3_10, 41918, 206529, 30, 425
